   0.00500000     0.400000      5.61600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    0.0100000     0.392600      5.62600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    0.0150000     0.385400      5.59400      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    0.0200000     0.378300      5.56100      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    0.0250000     0.371400      5.51500      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    0.0300000     0.364600      5.46900      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    0.0350000     0.357900      5.42600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    0.0400000     0.351300      5.38300      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    0.0450000     0.345000      5.33600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    0.0500000     0.338600      5.28900      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    0.0550000     0.332500      5.25400      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    0.0600000     0.326400      5.21900      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    0.0650000     0.320500      5.17300      0.00000      1.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    0.0700000     0.314500      5.12600      0.00000      1.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    0.0750000     0.308900      5.10400      0.00000      1.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    0.0800000     0.303300      5.08300      0.00000      1.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    0.0850000     0.297800      5.07800      0.00000      1.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    0.0900000     0.292500      5.07300      0.00000      1.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    0.0950000     0.287300      5.03000      0.00000      1.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
     0.100000     0.282100      4.98600      0.00000      1.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
     0.105000     0.277000      4.95400      0.00000      1.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
     0.110000     0.272100      4.92200      0.00000      1.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
     0.115000     0.267200      4.86500      0.00000      1.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
     0.120000     0.262300      4.80700      0.00000      1.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
     0.125000     0.257700      4.76000      0.00000      1.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
     0.130000     0.253100      4.71200      0.00000      1.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
     0.135000     0.248600      4.71600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
     0.140000     0.244100      4.72100      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
     0.145000     0.239700      4.60700      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
     0.150000     0.235300      4.49300      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
     0.155000     0.231000      4.54300      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
     0.160000     0.226700      4.59400      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
     0.165000     0.222600      4.57000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
     0.170000     0.218500      4.54500      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
     0.175000     0.214700      4.64500      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
     0.180000     0.210800      4.74500      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
     0.185000     0.207000      4.77400      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
     0.190000     0.203100      4.80300      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
     0.195000     0.199400      4.73700      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
     0.200000     0.195800      4.67000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
     0.205000     0.192200      4.73900      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
     0.210000     0.188600      4.80700      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
     0.215000     0.185100      4.81200      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
     0.220000     0.181700      4.81700      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
     0.225000     0.178300      4.76200      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
     0.230000     0.174900      4.70600      0.00000      0.00000      1.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
     0.235000     0.171700      4.59700      0.00000      0.00000      1.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
