Monte Carlo Parameter Chain
Iteration, P, Q, Chi-Square
348 -5.256332 4.956581 1472.957543 
349 -5.573946 4.742250 1478.141371 
350 -5.891560 4.527918 1439.411887 
351 -5.492656 4.278728 1442.932278 
352 -5.093753 4.029537 1433.327069 
353 -5.596552 4.129045 1430.084703 
354 -6.099350 4.228552 1404.811384 
355 -5.806798 4.025283 1375.963344 
356 -5.514245 3.822015 1373.207433 
357 -5.221693 3.618746 1363.105808 
358 -4.978417 3.301663 1279.198668 
359 -4.735142 2.984581 1250.430821 
360 -4.571509 3.050340 1335.796447 
361 -4.407877 3.116100 1334.943242 
362 -4.244244 3.181860 1344.309562 
363 -3.865634 2.870309 1313.870273 
364 -3.487023 2.558758 1301.506839 
365 -3.168926 2.380940 1282.849138 
366 -2.850829 2.203123 1274.977557 
367 -2.713521 1.627559 1213.819707 
368 -2.576213 1.051994 1155.346126 
369 -2.438905 0.476429 1091.222512 
370 -2.547959 0.770441 1170.370861 
371 -2.657012 1.064454 1186.581059 
372 -2.766066 1.358466 1192.446494 
373 -2.833464 1.224228 1220.902556 
374 -2.900863 1.089991 1204.483142 
375 -2.968261 0.955753 1178.015274 
376 -3.206674 1.228405 1202.670891 
377 -3.445086 1.501058 1225.569368 
378 -3.147362 1.504976 1206.198031 
379 -2.849638 1.508894 1226.562719 
380 -2.551914 1.512813 1228.126629 
381 -2.091034 1.616124 1275.699450 
382 -1.630154 1.719435 1308.200644 
383 -1.953689 1.131158 1281.783261 
384 -2.277225 0.542880 1188.836084 
385 -2.600760 0.542880 1174.608758 
386 -2.056583 0.710567 1174.648419 
387 -1.512405 0.878253 1212.138331 
388 -0.968227 1.045940 1251.190764 
389 -0.745978 1.313361 1369.213248 
390 -0.523728 1.580783 1420.394313 
391 -0.292272 1.647361 1332.275184 
392 -0.060816 1.713939 1357.389748 
393 -0.029890 1.689034 1382.052642 
394 -0.029890 1.664130 1380.049456 
395 -0.142625 1.766561 1330.482434 
396 -0.255360 1.868991 1336.136583 
397 -1.435362 1.775687 1329.879017 
398 -2.615363 1.682383 1240.222692 
399 -2.586026 2.051642 1318.712501 
400 -2.556688 2.420902 1390.516556 
401 -2.487214 1.781389 1284.633023 
402 -2.417740 1.141877 1238.236187 
403 -2.348266 0.502365 1201.677477 
404 -2.369346 0.491190 1127.494755 
405 -2.390425 0.480015 1124.470744 
406 -2.411505 0.468839 1122.159932 
407 -2.368869 0.109735 1075.347050 
408 -2.326233 0.109735 1077.802978 
409 -2.283597 0.109735 1090.697883 
410 -1.524707 0.315780 1185.219876 
411 -0.765816 0.521825 1213.201011 
412 -0.006925 0.727869 1262.080048 
413 -0.006925 0.603619 1203.702833 
414 -0.006925 0.479369 1201.515726 
415 -0.006925 0.707447 1266.709289 
416 -0.006925 0.935526 1286.636461 
417 -0.006925 1.163604 1311.522968 
418 -0.258924 1.502483 1356.733198 
419 -0.510923 1.841363 1371.801312 
420 -0.446179 1.689195 1346.331854 
421 -0.381435 1.537027 1329.213142 
422 -0.390507 1.147364 1266.885836 
423 -0.399580 0.757700 1221.513764 
424 -0.763107 0.558174 1247.246337 
425 -1.126634 0.358647 1223.160168 
426 -1.490161 0.159121 1194.004039 
427 -1.890534 0.159121 1130.040393 
428 -2.290906 0.159121 1108.434526 
429 -2.691279 0.159121 1093.992937 
430 -2.595423 0.136834 1058.994461 
431 -2.499567 0.114547 1055.614071 
432 -2.403710 0.092259 1058.373441 
433 -2.570067 0.384166 1085.590238 
434 -2.736423 0.676072 1097.327862 
435 -2.902779 0.967978 1108.881587 
436 -2.747515 1.085205 1150.047882 
437 -2.592250 1.202432 1185.763295 
438 -2.436986 1.319659 1190.041671 
439 -2.130717 1.744253 1243.531356 
440 -1.824448 2.168846 1262.078726 
441 -1.968846 2.792624 1417.343633 
442 -2.113244 3.416402 1485.813208 
443 -1.677289 3.416230 1522.841556 
444 -1.241333 3.416059 1545.262474 
445 -1.159499 3.836549 1576.159476 
446 -1.077664 4.257039 1691.577241 
447 -1.070754 4.863466 1723.584926 
448 -1.339406 4.863466 1726.926265 
449 -1.255710 4.905699 1825.901918 
450 -1.172014 4.947932 1856.482185 
